Source,Target,Weight,Type
A Christmas Carol,A Connecticut Yankee in King Arthur_s Court,6,undirected
A Christmas Carol,The Left Hand of Darkness ( PDFDrive ),1,undirected
A Christmas Carol,The Strange Case of Dr. Jekyll and Mr. Hyde,5,undirected
A Connecticut Yankee in King Arthur_s Court,A Christmas Carol,6,undirected
A Connecticut Yankee in King Arthur_s Court,A Pail of Air,1,undirected
A Connecticut Yankee in King Arthur_s Court,Dracula,2,undirected
A Connecticut Yankee in King Arthur_s Court,The Left Hand of Darkness ( PDFDrive ),4,undirected
A Connecticut Yankee in King Arthur_s Court,the princess bride the princess bride,2,undirected
A Connecticut Yankee in King Arthur_s Court,The Rest of the Robots ( PDFDrive ),1,undirected
A Connecticut Yankee in King Arthur_s Court,The Strange Case of Dr. Jekyll and Mr. Hyde,2,undirected
A Pail of Air,A Connecticut Yankee in King Arthur_s Court,1,undirected
A Pail of Air,The Big Time,3,undirected
A Pail of Air,The Defenders,2,undirected
A Swiftly Tilting Planet,Alexander, Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,6,undirected
A Swiftly Tilting Planet,do-androids-dream-of-electric-sheep,2,undirected
A Swiftly Tilting Planet,Dracula,3,undirected
A Swiftly Tilting Planet,faded-sun,4,undirected
A Swiftly Tilting Planet,The Clan of the Cave Bear ( PDFDrive ),3,undirected
A Swiftly Tilting Planet,The King in Yellow,3,undirected
A Swiftly Tilting Planet,the princess bride the princess bride,3,undirected
A Swiftly Tilting Planet,Welcome to the Monkey House ( PDFDrive ),1,undirected
A Swiftly Tilting Planet,Who Goes There_Book,3,undirected
After London or, Wild England,Around the World in Eighty Days,1,undirected
After London or, Wild England,orwellanimalfarm,2,undirected
After London or, Wild England,The Mysterious Island,2,undirected
After London or, Wild England,The Time Traders,6,undirected
Alexander, Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,A Swiftly Tilting Planet,6,undirected
Alexander, Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,The Left Hand of Darkness ( PDFDrive ),1,undirected
Alexander, Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,The Rest of the Robots ( PDFDrive ),2,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Masters of the vortex,2,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,The Phantom Tollbooth,1,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Watership Down ( PDFDrive ),1,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Welcome to the Monkey House ( PDFDrive ),3,undirected
Anthem,From the Earth to the Moon,3,undirected
Anthem,Looking Backward 2000-1887,1,undirected
Anthem,Skylark Three,2,undirected
Around the World in Eighty Days,After London or, Wild England,1,undirected
Around the World in Eighty Days,Frankenstein The 1818 Text,2,undirected
Around the World in Eighty Days,From the Earth to the Moon,2,undirected
