Source,Target,Weight,Type
A Christmas Carol,A Connecticut Yankee in King Arthur_s Court,5,undirected
A Christmas Carol,The Left Hand of Darkness ( PDFDrive ),1,undirected
A Christmas Carol,The Strange Case of Dr. Jekyll and Mr. Hyde,6,undirected
A Connecticut Yankee in King Arthur_s Court,A Christmas Carol,5,undirected
A Connecticut Yankee in King Arthur_s Court,A Pail of Air,1,undirected
A Connecticut Yankee in King Arthur_s Court,Dracula,2,undirected
A Connecticut Yankee in King Arthur_s Court,The First Men in the Moon,1,undirected
A Connecticut Yankee in King Arthur_s Court,The Left Hand of Darkness ( PDFDrive ),4,undirected
A Court of Thorns and Roses,Beauty_ A Retelling of the Story of Beauty and the Beast,4,undirected
A Court of Thorns and Roses,Crown of Midnight,3,undirected
A Court of Thorns and Roses,Outlander,1,undirected
A Court of Thorns and Roses,Throne-of-Glass,3,undirected
A Pail of Air,A Connecticut Yankee in King Arthur_s Court,1,undirected
A Pail of Air,The Big Time,3,undirected
A Pail of Air,The Defenders,2,undirected
A Swiftly Tilting Planet,Alexander Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,5,undirected
A Swiftly Tilting Planet,Dracula,3,undirected
A Swiftly Tilting Planet,SPEAKER-FOR-THE-DEAD-_c_-1986-Orson-Scott-Card,2,undirected
A Swiftly Tilting Planet,The Giver,1,undirected
A Swiftly Tilting Planet,The Last Wish,6,undirected
After London or Wild England,Around the World in Eighty Days,1,undirected
After London or Wild England,orwellanimalfarm,2,undirected
After London or Wild England,The Mysterious Island,3,undirected
After London or Wild England,The Time Traders,5,undirected
Alexander Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,A Swiftly Tilting Planet,5,undirected
Alexander Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,Outlander,1,undirected
Alexander Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2) ,SPEAKER-FOR-THE-DEAD-_c_-1986-Orson-Scott-Card,2,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Good Omens The Nice and Accurate Prophecies of Agnes Nutter Witch ,1,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Masters of the vortex,2,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,The Phantom Tollbooth,1,undirected
Alice_s Adventures in Wonderland by Lewis Carroll,Welcome to the Monkey House ( PDFDrive ),3,undirected
Anthem,From the Earth to the Moon,3,undirected
Anthem,Skylark Three,1,undirected
Anthem,The Left Hand of Darkness ( PDFDrive ),2,undirected
Around the World in Eighty Days,After London or Wild England,1,undirected
Around the World in Eighty Days,Frankenstein The 1818 Text,2,undirected
Around the World in Eighty Days,From the Earth to the Moon,2,undirected
Around the World in Eighty Days,Sinclair Lewis - It Cant Happen Here,1,undirected
Around the World in Eighty Days,The Last Man,2,undirected
Around the World in Eighty Days,The Mysterious Island,5,undirected
Around the World in Eighty Days,Twenty Thousand Leagues under the Sea by Jules Verne,4,undirected
Asimov Isaac - Bicentennial Man _ Other Stories The,Bring the Jubilee,1,undirected
Asimov Isaac - Bicentennial Man _ Other Stories The,Gray Lensman,2,undirected
Asimov Isaac - Bicentennial Man _ Other Stories The,Masters of the vortex,1,undirected
Asimov Isaac - Bicentennial Man _ Other Stories The,The Rest of the Robots ( PDFDrive ),6,undirected
Beauty_ A Retelling of the Story of Beauty and the Beast,A Court of Thorns and Roses,4,undirected
Beauty_ A Retelling of the Story of Beauty and the Beast,Outlander,5,undirected
Beauty_ A Retelling of the Story of Beauty and the Beast,The Lightning Thief,1,undirected
Bring the Jubilee,Asimov Isaac - Bicentennial Man _ Other Stories The,1,undirected
Bring the Jubilee,Gray Lensman,3,undirected
Bring the Jubilee,Looking Backward 2000-1887,4,undirected
Catching Fire ,Divergent,1,undirected
Catching Fire ,Insurgent,4,undirected
Catching Fire ,Red-Queen,1,undirected
Catching Fire ,The Handmaids Tale,3,undirected
Catching Fire ,The Hunger Games,6,undirected
Catching Fire ,The Martian,2,undirected
Charlotte Sometimes ( PDFDrive ),Cress,1,undirected
Charlotte Sometimes ( PDFDrive ),Crown of Midnight,2,undirected
Charlotte Sometimes ( PDFDrive ),The Clan of the Cave Bear ( PDFDrive ),3,undirected
City of Bones,Frankenstein The 1818 Text,1,undirected
City of Bones,lovecraft_at_the_mountains_of_madness,3,undirected
City of Bones,The Last Man,2,undirected
City of Bones.txt.part,Clockwork Princess,3,undirected
City of Bones.txt.part,Harry Potter and the Chamber of Secrets,5,undirected
City of Bones.txt.part,Harry Potter and the Sorcerer_s Stone,1,undirected
City of Bones.txt.part,The Lightning Thief,5,undirected
Clockwork Princess,City of Bones.txt.part,3,undirected
Clockwork Princess,Cress,2,undirected
Clockwork Princess,faded-sun,1,undirected
Clockwork Princess,Throne-of-Glass,1,undirected
Cress,Charlotte Sometimes ( PDFDrive ),1,undirected
Cress,Clockwork Princess,2,undirected
Cress,Crown of Midnight,3,undirected
Cress,Scarlet,6,undirected
Cress,Simulacron-3 (The Thirteenth Floor) ( PDFDrive ),2,undirected
Cress,The Clan of the Cave Bear ( PDFDrive ),3,undirected
Cress,The Girl with the Dragon Tattoo,2,undirected
Cress,The Giver,2,undirected
