ID,Year,Author,Title,Genre,Rating,Gender,Narrative_perspective,Length
A Christmas Carol,1843,Charles Dickens,A Christmas Carol,time travel,4.07,,,
A Connecticut Yankee in King Arthur_s Court,1889,Mark Twain,A Connecticut Yankee in King Arthur's Court,alternate history,3.77,,,
A Pail of Air,1951,Fritz Leiber,A Pail of Air,hard,3.9,,,
A Swiftly Tilting Planet,1978,Madeleine L'Engle,A Swiftly Tilting Planet,alternate universe,4.08,,,
After London or Wild England,1885,Richard Jefferies,"After London: or, Wild England",apocalyptic,3.08,,,
Alexander Lloyd - Chronicles of Prydain 4 - Taran Wanderer(2),#N/A,#N/A,Alexander,#N/A,#N/A,,,
Alice_s Adventures in Wonderland by Lewis Carroll,1865,Lewis Carroll,Alice's Adventures in Wonderland,alternate universe,4,,,
Anthem,1938,Ayn Rand,Anthem,apocalyptic,3.63,,,
Around the World in Eighty Days,1872,Jules Verne,Around the World in Eighty Days,steampunk,3.94,,,
Asimov Isaac - Bicentennial Man _ Other Stories The,1976,Isaac Asimov,The Bicentennial Man and Other Stories,robot,4.12,,,
Beauty_ A Retelling of the Story of Beauty and the Beast,1978,Robin McKinley,Beauty: A Retelling of the Story of Beauty and the Beast,alternate universe,4.05,,,
Bring the Jubilee,1953,Ward Moore,Bring the Jubilee,alternate history,3.7,,,
Charlotte Sometimes ( PDFDrive ),1969,Penelope Farmer,Charlotte Sometimes,time travel,4.09,,,
CrookedHouse,#N/A,#N/A,CrookedHouse,#N/A,#N/A,,,
do-androids-dream-of-electric-sheep,1968,Philip K. Dick,Do Androids Dream of Electric Sheep,cyberpunk,4.08,,,
Dracula,1897,Bram Stoker,Dracula,alternate universe,4,,,
faded-sun,1978,C.J. Cherryh,The Faded Sun Trilogy,military,4.13,,,
First Lensman,1950,"E.E. ""Doc"" Smith",First Lensman,space opera,3.88,,,
Flatland A Romance of Many Dimensions,1884,Edwin A. Abbott,Flatland: A Romance of Many Dimensions,hard,3.81,,,
Frankenstein The 1818 Text,#N/A,#N/A,Frankenstein The 1818 Text,#N/A,#N/A,,,
From the Earth to the Moon,1865,Jules Verne,From the Earth to the Moon,hard,3.79,,,
Galactic patrol,1937,"E.E. ""Doc"" Smith",Galactic patrol,space opera,3.98,,,
Gray Lensman,1951,"E.E. ""Doc"" Smith",Gray Lensman,hard,3.98,,,
Greylorn,1951,Keith Laumer,Greylorn,hard,3.53,,,
Joe Haldeman - The Forever War,1974,Joe Haldeman,The Forever War,alines,4.14,,,
Kindred,1979,Octavia E. Butler,Kindred,alternate history,4.26,,,
Last_and_First_Men,1930,Olaf Stapledon,Last and First Men,alternate history,3.8,,,
Looking Backward 2000-1887,1888,Edward Bellamy,Looking Backward: 2000-1887,time travel,3.28,,,
lovecraft_at_the_mountains_of_madness,#N/A,#N/A,lovecraft_at_the_mountains_of_madness,#N/A,#N/A,,,
Masters of the vortex,1960,"E.E. ""Doc"" Smith",Masters of the vortex,space opera,3.7,,,
orwellanimalfarm,1945,George Orwell,Animal Farm,alternate history,3.95,,,
OutofSilentPlanet_CSL,1938,C.S. Lewis,Out of the Silent Planet,alines,3.91,,,
Perelandra_CSL,1943,C.S. Lewis,Perelandra,alines,3.99,,,
Rendezvous with Rama ( PDFDrive ),1973,Arthur C. Clarke,Rendezvous with Rama,alines,4.1,,,
Roadside Picnic,1972,Arkady Strugatsky,Roadside Picnic,alines,4.17,,,
Second Variety,1953,Philip K. Dick,Second Variety,robot,3.98,,,
Simulacron-3 (The Thirteenth Floor) ( PDFDrive ),1964,Daniel F. Galouye,Simulacron 3,cyberpunk,4.04,,,
Sinclair Lewis - It Cant Happen Here,#N/A,#N/A,It Cant Happen Here,#N/A,#N/A,,,
Skylark of Valeron,1934,"E.E. ""Doc"" Smith",Skylark of Valeron,space opera,3.83,,,
Skylark Three,1930,"E.E. ""Doc"" Smith",Skylark Three,space opera,3.87,,,
slaughterhouse_-_five,1969,Kurt Vonnegut Jr.,Slaughterhouse-Five,alines,4.08,,,
StarMaker,1937,Olaf Stapledon,Star Maker,space opera,3.93,,,
The Big Time,1958,Fritz Leiber,The Big Time,time travel,3.25,,,
The City of Gold and Lead ( PDFDrive ),1967,John Christopher,The City of Gold and Lead,alines,4.07,,,
The Clan of the Cave Bear ( PDFDrive ),1980,Jean M. Auel,The Clan of the Cave Bear,alternate history,4.06,,,
The Defenders,1953,Philip K. Dick,The Defenders,robot,3.69,,,
The First Men in the Moon,1901,H.G. Wells,The First Men in the Moon,steampunk,3.68,,,
The Invisible Man,1897,H.G. Wells,The Invisible Man,steampunk,3.64,,,
The Island of Doctor Moreau,1896,H.G. Wells,The Island of Doctor Moreau,steampunk,3.73,,,
The King in Yellow,1895,Robert W. Chambers,The King in Yellow,alternate history,3.5,,,
The Last Man,1826,Mary Wollstonecraft Shelley,The Last Man,apocalyptic,3.36,,,
The Left Hand of Darkness ( PDFDrive ),1969,Ursula K. Le Guin,The Left Hand of Darkness,alines,4.08,,,
The Mysterious Island,1865,Jules Verne,The Mysterious Island,steampunk,4.11,,,
The Nine Billion Names of God_ The Collected Stories of Arthur C. Clarke1951-1956 ( PDFDrive ),1967,Arthur C. Clarke,The Nine Billion Names of God,hard,4.06,,,
The Phantom Tollbooth,1961,Norton Juster,The Phantom Tollbooth,alternate universe,4.18,,,
the princess bride the princess bride,1973,William Goldman,The Princess Bride,alternate universe,4.25,,,
The Purple Cloud,1901,Matthew Phipps Shiel,The Purple Cloud,apocalyptic,3.49,,,
The Rest of the Robots ( PDFDrive ),1964,Isaac Asimov,The Rest of the Robots,robot,4.09,,,
The Skull,1952,Philip K. Dick,The Skull,time travel,3.7,,,
The Strange Case of Dr. Jekyll and Mr. Hyde,1886,Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde,alternate universe,3.82,,,
The Time Machine,1895,H.G. Wells,The Time Machine,apocalyptic,3.89,,,
The Time Traders,1958,Andre Norton,The Time Traders,time travel,3.75,,,
The War of the Worlds,1898,H.G. Wells,The War of the Worlds,alines,3.83,,,
ThePlague-Camus,1947,Albert Camus,The Plague,apocalyptic,4.01,,,
Triplanetary,1948,"E.E. ""Doc"" Smith",Triplanetary,space opera,3.65,,,
Twenty Thousand Leagues under the Sea by Jules Verne,1869,Jules Verne,Twenty Thousand Leagues Under the Sea,steampunk,3.89,,,
Utopia,1516,Thomas More,Utopia,dystopia,3.55,,,
Watership Down ( PDFDrive ),1972,Richard  Adams,Watership Down,dystopia,4.06,,,
Welcome to the Monkey House ( PDFDrive ),1968,Kurt Vonnegut Jr.,Welcome to the Monkey House,dystopia,4.11,,,
When the Sleeper Wakes,1899,H.G. Wells,When the Sleeper Wakes,dystopia,3.41,,,
Who Goes There_Book,1938,John W. Campbell Jr.,Who Goes There,alines,3.86,,,
